Slot,Column1,Column2,,,,,,,,,,,,,,
Name,StonesSheep_WMU42,,,,,,,,,,,,,,,
maxage,16,,,,,,,,,,,,,,,
R0,294.0463537,,,4,5,6,7,8,9,10,11,12,13,14,15,16
M,0.543004522,0.07364654,0.031490667,0.040821995,0.051293294,0.0629398,0.097612829,0.15431736,0.256183405,0.412489723,0.765717873,1.203972804,1.203972804,1.203972804,1.203972804,1.203972804
M2,0.553004522,0.08364654,0.041490667,0.050821995,0.061293294,0.0729398,0.107612829,0.16431736,0.266183405,0.422489723,0.775717873,1.213972804,1.213972804,1.213972804,1.213972804,1.213972804
Mexp,,,,,,,,,,,,,,,,
Msd,0.05,0.15,,,,,,,,,,,,,,
Mgrad,0,0,,,,,,,,,,,,,,
h,0.75,0.9,,Extremely low recruitment compensation - SR sheet ,,,,,,,,,,,,
SRrel,1,,,,,,,,,,,,,,,
Perr,0.01,0.02,,,,,,,,,,,,,,
AC,0.25,0.65,,,,,,,,,,,,,,
Period,,,,,,,,,,,,,,,,
Amplitude,,,,,,,,,,,,,,,,
Linf,100,135,,From the von Bertalaffy model - horn length,,,,,,,,,,,,
K,0.32,0.42,,From the von Bertalaffy model - horn length,,,,,,,,,,,,
t0,-0.1,0.1,,From the von Bertalaffy model - horn length,,,,,,,,,,,,
LenCV,0.1,0.12,,From the von Bertalaffy model - horn length,,,,,,,,,,,,
Ksd,0,0,,numbers model,,,,,,,,,,,,
Kgrad,-0.05,-0.03,,Persistent reduction in horn length (evidence of 12% decrease in early horn growth over 40 years in a heavily hunted population),,,,,,,,,,,,
Linfsd,0,0,,numbers model,,,,,,,,,,,,
Linfgrad,0,0,,numbers model,,,,,,,,,,,,
L50,65,80,,Horn length at 50% maturity between 3/4 curl and full curl (avg. 90cm),,,,,,,,,,,,
L50_95,10,30,,"""Most mature rams produce horns between 90 and 110cm in length"" - Status in thinhorn sheep, Demarchi and Hartwig",,,,,,,,,,,,
D,0.65,0.75,,From SRA - current numbers 71% of unharvested,,,,,,,,,,,,
a,1,,,"numbers model, W=L",,,,,,,,,,,,
b,0,,,"numbers model, W=L",,,,,,,,,,,,
Frac_area_1,0.5,0.5,,,,,,,,,,,,,,
Prob_staying,0.5,0.5,,,,,,,,,,,,,,
Fdisc,0,0,,Assume no discarding,,,,,,,,,,,,
Source,SRA and literature review,,,,,,,,,,,,,,,
