Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Sheep_Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyears,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spat_targ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffYears,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
EffLower,0.037516773,0.023604228,0.046693958,0.043771941,0.045015157,0.044388891,0.042645712,0.027677433,0.027618501,0.023992081,0.026240968,0.032599293,0.031507785,0.042805363,0.045677377,0.052611767,0.047938971,0.053318367,0.066393841,0.04675336,0.046694564,0.042250951,0.047133437,0.044488089,0.052439662,0.040030717,0.035053833,0.033271778,0.026041083,0.016098177,0.027960486,0.032478378,0.026618658,0.032744784,0.024582976,0.024798782,0.029958432,0.035169596,0.035814716,0.05,0.04,0.04
EffUpper,0.037516773,0.023604228,0.046693958,0.043771941,0.045015157,0.044388891,0.042645712,0.027677433,0.027618501,0.023992081,0.026240968,0.032599293,0.031507785,0.042805363,0.045677377,0.052611767,0.047938971,0.053318367,0.066393841,0.04675336,0.046694564,0.042250951,0.047133437,0.044488089,0.052439662,0.040030717,0.035053833,0.033271778,0.026041083,0.016098177,0.027960486,0.032478378,0.026618658,0.032744784,0.024582976,0.024798782,0.029958432,0.035169596,0.035814716,0.05,0.04,0.04
Esd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qinc,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qcv,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5,75,75,,From percentile distribution of catch at horn length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFS,90,90,,From percentile distribution of catch at horn length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vmaxlen,1,1,,"At max length, vulnerability is 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isRel,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR5,0,0,,Retention follows selectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFR,0,0,,Retention follows selectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rmaxlen,1,1,,Retention follows selectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,0,0,,"No discarding, ignore this slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SelYears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbsSelYears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFSLower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFSUpper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VmaxLower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VmaxUpper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CurrentYr,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
