Slot,Column1,Column2,,,,,,,,,,,,,,,,
Name,StonesSheep_WMU42_baseCase_om1,,,,,,,,,,,,,,,,,
maxage,16,,,,,,,,,,,,,,,,,
R0,294.0463537,,From SRA,4,5,6,7,8,9,10,11,12,13,14,15,16,,
M,0.543004522,0.07364654,0.031490667,0.040821995,0.051293294,0.0629398,0.097612829,0.15431736,0.256183405,0.412489723,0.765717873,1.203972804,1.203972804,1.203972804,1.203972804,1.203972804,,From Hoef and Bayer 1983
M2,0.553004522,0.08364654,0.041490667,0.050821995,0.061293294,0.0729398,0.107612829,0.16431736,0.266183405,0.422489723,0.775717873,1.213972804,1.213972804,1.213972804,1.213972804,1.213972804,,
Mexp,,,,,,,,,,,,,,,,,,
Msd,0.05,0.15,,Assume moderate variability in natural mortality,,,,,,,,,,,,,,
Mgrad,0,0,,No persistent trend in natural mortality,,,,,,,,,,,,,,
h,0.85,0.95,,Extremely low recruitment compensation - SR sheet ,,,,,,,,,,,,,,
SRrel,1,,,Beverton-Holt recruitment,,,,,,,,,,,,,,
Perr,0.01,0.02,,Very low interannual variability in recruitment,,,,,,,,,,,,,,
AC,0.25,0.65,,Autocorrelation in recruitment deviates is moderate – from SRA,,,,,,,,,,,,,,
Period,,,,No periodic recruitment – implemented in OM2,,,,,,,,,,,,,,
Amplitude,,,,No periodic recruitment – implemented in OM2,,,,,,,,,,,,,,
Linf,100,135,,From the von Bertalaffy model – calculated from age-length relationships,,,,,,,,,,,,,,
K,0.32,0.42,,From the von Bertalaffy model – calculated from age-length relationships,,,,,,,,,,,,,,
t0,-0.1,0.1,,From the von Bertalaffy model – calculated from age-length relationships,,,,,,,,,,,,,,
LenCV,0.1,0.12,,From the von Bertalaffy model – calculated from age-length relationships,,,,,,,,,,,,,,
Ksd,0,0,,No change in K,,,,,,,,,,,,,,
Kgrad,0,0,,No gradual change in K – implemented in OM3,,,,,,,,,,,,,,
Linfsd,0,0,,No SD in Linf,,,,,,,,,,,,,,
Linfgrad,0,0,,No gradual change in Linf,,,,,,,,,,,,,,
L50,65,80,,"Horn length at 50% maturity between 3/4 curl and full curl (avg. 90cm), taken from harvest data",,,,,,,,,,,,,,
L50_95,10,30,,"""Most mature rams produce horns between 90 and 110cm in length"" - Status in thinhorn sheep, Demarchi and Hartwig",,,,,,,,,,,,,,
D,0.65,0.75,,From SRA - current numbers ~71% of unharvested,,,,,,,,,,,,,,
a,1,,,"numbers model, W=1",,,,,,,,,,,,,,
b,0,,,"numbers model, W=1",,,,,,,,,,,,,,
Frac_area_1,0.5,0.5,,No MPA implemented; ignore,,,,,,,,,,,,,,
Prob_staying,0.5,0.5,,No MPA implemented; ignore,,,,,,,,,,,,,,
Fdisc,0,0,,Assume no discarding,,,,,,,,,,,,,,
Source,SRA and literature review,,,,,,,,,,,,,,,,,
